[2025-11-01 10:54:40] system | Admin user created | Initial setup | IP: 127.0.0.1
[2025-11-01 10:58:30] talia🥰 | User registered successfully |  | IP: 127.0.0.1
[2025-11-01 11:10:28] sana12 | User registered successfully |  | IP: 127.0.0.1
[2025-11-01 11:10:49] sana12 | Successful login | User authenticated | IP: 127.0.0.1
[2025-11-01 11:11:44] sana12 | Added expense | Amount: $50000.0, Category ID: 1 | IP: 127.0.0.1
[2025-11-01 11:12:07] sana12 | Added budget | Category ID: 1, Amount: $100000.0 | IP: 127.0.0.1
[2025-11-01 11:12:43] sana12 | CSV import | Imported 0 transactions | IP: 127.0.0.1
[2025-11-01 11:13:31] sana12 | User logged out |  | IP: 127.0.0.1
[2025-11-01 11:13:54] talia🥰 | Successful login | User authenticated | IP: 127.0.0.1
[2025-11-01 11:14:12] talia🥰 | Added budget | Category ID: 1, Amount: $10000.0 | IP: 127.0.0.1
[2025-11-01 11:17:31] talia🥰 | Added budget | Category ID: 1, Amount: $10000.0 | IP: 127.0.0.1
[2025-11-01 11:19:51] talia🥰 | User logged out |  | IP: 127.0.0.1
[2025-11-01 11:20:55] humna12 | User registered successfully |  | IP: 127.0.0.1
[2025-11-01 11:21:10] humna12 | Successful login | User authenticated | IP: 127.0.0.1
[2025-11-01 11:21:49] humna12 | Added expense | Amount: $5000.0, Category ID: 1 | IP: 127.0.0.1
[2025-11-01 11:22:03] humna12 | Added budget | Category ID: 1, Amount: $10000.0 | IP: 127.0.0.1
[2025-11-01 11:22:29] humna12 | CSV import | Imported 0 transactions | IP: 127.0.0.1
